||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
G V K Power & Infrastructure Ltd.|70200|17427.90|25702.10|604.70|387.80|||21565.00|12.70|||3.90||1231.10|548.30|||26049.10|-229.80|||15.90||95.40|23.10|1.30|38.40||29.00|27.20||19.00||101.60|29.80||22.00||29.50|26.00||19.00||27.00|25.50||19.40||108.40|29.10||33.40||166.70|32.00||50.60|4.80|415.10|72.00||59.60|1.00|136.20|62.70||46.20||136.20|62.70|0.00|46.20|0.00|102.80|68.10|0.00|55.20|0.00|82.50|64.90|0.00|49.50|0.00|98.80|85.40|0.00|80.30|0.00|98.80|85.40|0.00|80.30|0.00|178.10|114.10|0.00|94.00|0.00|167.10|113.30|0.00|101.30|0.00|147.60|140.90|0.00|99.20|14.50|215.80|128.50||118.50||826.00|134.60||212.70||128.50|82.30|35.10|133.70||96.50|69.50||118.90|
Glaxosmithkline Pharmaceuticals Ltd.|21002|40308.70|44485.20|23551.00|18116.00|4.90|265.00|47607.35|4274.40|44.30||1089.30||26489.40|22744.30||142.80|40493.20|2682.80|38.30||991.30||4483.90|4261.60|0.00|3267.00|22.00|4256.50|4073.40|0.00|3355.40|0.00|6108.70|3991.50|1863.60|3291.50|0.00|3424.30|3202.70|0.00|2884.70|3.70|4503.50|4214.60|0.00|3302.10|0.00|4151.00|3956.10|0.00|3072.70|0.00|5823.90|4244.70|1399.10|3070.00|0.00|3689.00|3467.50|9.60|2950.30|0.00|4517.60|4242.20|51.00|3212.50|0.00|4427.90|4209.20|17.70|3342.90|0.00|4880.20|4606.70|20.30|3393.40|0.00|5246.00|3752.40|1193.10|3429.30|0.00|5050.30|4609.80|178.40|3551.60|0.00|4993.40|4619.50|0.00|3825.70|73.10|5351.20|5182.80|0.00|3952.30|0.00|4693.50|4498.80|0.00|3978.60|31.30|5848.80|5465.40|0.00|4258.30|0.00|5277.30|5075.10|0.00|3994.20|106.20|6148.20|5892.70|0.00|4420.30|4.40|5313.20|5007.20|0.00|4503.60|66.30|7755.30|6098.10|1146.20|7949.80|3004.90
Godrej Industries Ltd.|20119|18927.70|19107.90|10343.90|9707.90|0.90||18883.00|700.20|32.70|126.50|2763.10|20.20|13186.30|12083.60|248.30|0.00|20862.40|1014.60|28.70|94.20|3141.70|13.70|2240.30|1847.40|309.80|2124.20|0.00|1826.10|1606.90|9.40|1671.10|0.00|2035.60|1758.70|90.00|2076.80|0.00|1961.60|1529.80|14.60|1811.20|0.00|2037.10|1652.30|12.30|1808.50|2.10|2052.20|1633.30|37.70|1667.20|0.00|1950.60|1832.50|21.50|1788.00|0.00|2346.40|1979.80|61.50|1909.40|91.80|2231.00|2275.70|-87.50|2073.50|67.10|2710.60|2517.40|158.90|2550.70|0.00|2584.60|2541.90|0.00|2774.70|0.00|2326.40|1871.70|0.00|2161.30|13.70|2095.90|1878.70|12.30|1824.60|1.40|2058.60|2027.80|0.00|2076.20|0.00|2644.20|2315.90|0.00|2353.30|0.00|2420.40|2124.90|38.50|2178.50|0.00|2706.90|2278.00|0.00|2586.50|0.30|2499.70|2384.50|0.00|2453.40|0.00|3115.90|2724.30|0.00|2741.90|0.00|3208.50|2918.50|10.70|2998.60|0.00|3756.00|3181.50|24.00|3295.40|104.90
Grasim Industries Ltd.|20301|160680.40|93301.90|96095.90|75138.50|3467.90|112.90|126974.35|19791.40|43.90|1229.50|17860.60|18.40|53592.70|41901.00|334.70||96739.85|9729.90|73.20|180.00|15418.10|6.60|18914.20|18297.80|41.30|16370.60|0.00|19292.00|18917.30|0.00|16021.90|0.00|20616.10|20113.90|0.00|17382.20|0.00|23246.10|22802.20|0.00|19083.80|0.00|25892.80|24746.00|371.00|21035.80|0.00|25032.10|24354.70|0.00|19768.00|0.00|25558.90|25083.80|0.00|20841.60|0.00|26774.60|26153.80|47.60|21679.50|0.00|30870.40|27637.90|456.80|24923.10|0.00|26745.70|26182.60|0.00|22380.50|0.00|27864.70|27027.90|0.00|23991.20|0.00|27400.20|26952.50|0.00|24096.00|0.00|29693.60|29400.50|0.00|25092.30|0.00|34537.00|30895.80|3360.70|25469.40|0.00|31241.30|30241.30|0.00|24987.50|0.00|11099.40|10580.10|0.00|8554.90|0.00|11961.70|11409.00|0.00|8796.80|0.00|10042.50|9644.70|0.00|7939.60|0.00|10949.00|9625.10|0.00|8414.00|0.00|12978.50|12573.20|0.00|10150.90|0.00|15435.10|14584.40|0.00|11184.40|0.00
Great Eastern Shipping Co. Ltd.|50119|89266.50|97776.10|22498.80|18541.30|1858.50||93521.30|9109.50|||42718.30||16643.40|13978.80|1056.90|857.00|96951.70|6783.30|||42586.60||5504.80|5283.70|0.00|3669.60|48.90|5474.00|4338.40|793.20|3063.40|0.00|5911.90|5221.50|388.10|3557.10|0.00|5257.50|4901.90|59.00|3599.00|0.00|5926.70|5436.30|181.80|3517.50|4.10|8696.90|6371.30|788.70|4486.50|0.00|8061.60|6013.10|1645.40|4633.70|0.00|7442.80|6042.90|490.30|4507.10|0.00|8243.40|7379.80|456.80|5249.30|409.60|9914.80|7024.40|2539.20|6038.90|0.00|9732.90|8640.90|0.00|4671.40|0.00|7848.60|7017.20|350.40|5438.30|148.50|7896.20|5607.50|21.40|5395.70|965.00|6290.20|4681.60|1194.90|5027.40|0.00|5210.80|4876.60|0.00|4243.10|0.00|5294.10|4669.30|29.40|4541.10|0.00|5688.30|5132.20|0.00|4714.30|0.00|4847.00|3858.70|311.20|3787.60|0.00|4275.10|3499.40|228.50|3145.30|0.00|3972.90|3075.20|550.80|3177.90|0.00|3845.20|3249.70|0.40|4164.80|899.70
Gujarat Mineral Devp. Corpn. Ltd.|05209|28894.90|30020.40|11130.00|8430.90|60.10||29457.65|5535.50||17.70|13412.60||14707.40|10916.50|12.40|5.50|28444.50|3887.00||12.10|15173.90|0.00|1932.50|1280.10|0.00|1671.30|38.00|1552.10|1515.70|0.00|1413.90|7.80|1210.10|1147.60|0.00|1060.00|2.80|1930.00|1328.00|531.60|1394.90|0.00|2206.80|1898.30|129.10|2092.80|261.00|2299.70|2199.10|0.00|1660.50|8.70|1900.30|1831.40|0.00|1479.00|1.60|2814.90|2603.30|0.00|1927.20|6.70|3337.10|3224.30|51.40|2763.40|0.00|2824.50|2726.90|0.00|2125.70|2.20|1405.30|1311.10|0.80|1235.00|0.00|2628.80|2574.90|0.00|1895.30|0.00|3380.10|3163.80|0.00|2648.70|54.90|2800.00|2729.80|0.00|2026.40|4.10|1859.20|1767.20|0.00|1472.50|0.50|2820.30|2697.00|0.00|2111.30|7.70|3672.30|3458.20|106.10|2842.50|0.00|3473.70|3418.50|1.80|2431.20|0.00|2550.50|2491.20|2.90|2028.50|0.00|3539.40|3480.20|0.00|2452.90|2.70|4703.10|4483.90|0.00|3566.30|24.00
Gujarat State Petronet Ltd.|49300|30138.80|37980.00|10236.60|6098.90|||34059.40|8862.30||9.10|24367.80|45.50|10919.00|5855.20||0.10|39565.70|5975.00||10.30|31816.80|1021.30|702.20|674.70||594.20||756.20|715.10||563.00||802.80|758.40||578.90||909.90|870.90||625.70||952.60|831.20|71.40|759.90||1011.20|958.00||832.40||1010.00|953.60||847.20||1202.60|1106.30||950.60||1248.90|1161.00||843.20||1262.90|1194.90||936.50||1258.30|1185.90||974.50||1232.90|1174.40||956.50||1364.00|1319.80||1016.50||2143.20|2108.20||1338.30||2606.40|2547.60||1505.80||2717.80|2684.90||1564.20||2699.60|2667.90||1620.90||2574.90|2545.10||1523.90||2612.80|2544.70||1697.60||2845.50|2795.20||1254.20||2821.40|2580.20|173.10|1315.00|
H C L Technologies Ltd.|62013|70863.50|91591.50|52559.70|41650.30|38.70|16.70|81227.50|6801.40|405.30|103.90|9438.30|997.30|69610.50|58723.10|14.30|3.00|94679.05|14101.30|931.60|104.40|12959.30|1074.00|7307.20|7085.00|10.00|5959.60|0.00|8131.80|7947.30|0.00|6767.30|0.00|9225.20|8916.40|0.00|7166.90|0.00|10234.30|9768.80|0.00|7572.90|0.00|10233.70|9589.70|0.00|7847.80|0.00|12387.20|9411.30|0.00|8474.90|0.00|11461.10|11028.60|0.00|8819.40|0.00|11853.00|11292.00|0.00|9183.50|0.00|13291.30|12755.80|0.00|10660.50|0.00|11425.60|11077.50|0.00|11561.00|0.00|12256.60|11758.00|0.00|9718.70|0.00|14304.60|13048.50|0.00|10324.50|0.00|10930.70|10489.00|0.00|9405.00|0.00|12149.30|11455.40|0.00|10219.90|0.00|12952.30|12473.20|0.00|9944.80|0.00|12592.20|12137.10|0.00|10037.80|0.00|13211.70|12871.10|0.00|10586.00|0.00|13682.50|13306.10|0.00|11304.30|0.00|15403.40|14983.20|0.00|13454.60|0.00|16875.90|16490.60|0.00|14016.20|0.00|18073.80|16977.30|717.90|14755.70|0.00
H D F C Bank Ltd.|64191|1833586.80|2225568.80|201589.60|172102.60|40.20||2029577.80|57329.60||831.20|21228.10|2502.80|244867.60|205603.60||8.20|2499928.25|110220.60||1589.50|21706.40|2495.20|16826.50|13785.00|0.00|14194.40|0.00|17952.10|15042.90|0.00|15559.10|0.00|19757.50|15780.40||17128.10||20722.30|16989.30||17765.90||23209.70|19265.40||19774.00||26417.00|20691.60||23204.70||28451.40|23627.60||24766.60||34057.90|27269.00||29764.30||35055.20|29561.80||30344.10||42151.50|36217.30||37508.00||46343.20|39912.10||41063.40||54078.90|44685.00||47861.50||53655.20|42508.30||47346.40||51367.50|40931.00||45306.40||50454.30|39918.90||43579.70||49338.90|40348.10||41153.90||50038.70|40531.10||41672.50||54105.70|44197.10||45988.60||57707.00|48099.90||48585.60||63577.80|52299.60||52699.50||67243.10|54685.50||56096.00|
Havells India Ltd.|28199|14128.10|17173.20|25928.00|24406.30|1.10|75.90|15650.65|1952.30|66.50|854.40|5715.40|33.20|31970.80|30688.30|5.40|5.80|19483.60|3365.70|74.20|719.90|7086.10|51.80|3012.90|2994.90|0.00|2897.40|0.00|3432.00|3418.00|0.00|3494.00|0.00|3747.00|3742.00|0.00|3918.00|0.00|3919.00|3909.00|0.00|3706.00|0.00|4428.70|4403.10|0.00|3949.80|0.00|4764.80|4740.40|0.00|4826.40|0.00|5005.40|5004.40|0.00|5040.80|0.00|5367.40|5365.00|0.00|5808.80|0.00|5556.40|5553.30|0.00|4875.70|0.00|5546.90|5540.80|0.00|5149.30|0.00|5879.30|5875.80|0.00|5641.80|0.00|4861.20|4860.60|0.00|3621.60|0.00|5771.80|5770.30|0.00|4456.70|0.00|5902.60|5898.50|0.00|5575.80|0.00|5982.30|5980.00|0.00|5812.70|0.00|5914.00|5913.30|0.00|5538.90|0.00|6818.10|6816.30|0.00|6168.00|0.00|6895.80|6894.90|0.00|6658.30|0.00|6701.10|6630.90|4.70|6536.30|0.00|6965.70|6920.50|0.00|6485.30|0.00|8453.60|8441.20|0.00|8053.70|0.00
Hero Motocorp Ltd.|30911|60904.00|85305.00|177598.70|155165.00|2.30|61.80|73104.50|25887.70|271.60|3649.70|16587.80|570.20|214877.00|195868.00|4.60|922.70|96358.40|19131.60|282.60|3826.00|40802.80|24677.50|23028.40|22558.80|0.00|20269.50|0.00|24199.60|23643.70|0.00|21906.60|0.00|22959.20|22299.60|0.00|21445.40|0.00|27051.40|26660.50|0.00|24187.90|0.00|26917.80|26395.80|0.00|24986.80|0.00|24958.50|24479.90|0.00|23184.60|0.00|24014.40|23613.90|0.00|22944.40|0.00|28038.30|27502.00|0.00|24216.30|0.00|28519.10|27998.90|0.00|25613.20|0.00|28952.20|28510.40|0.00|26386.00|0.00|32642.70|32020.50|0.00|30411.80|0.00|29336.00|28812.70|0.00|25605.20|0.00|34842.80|34304.10|0.00|30735.20|0.00|38771.00|38291.60|0.00|33645.60|0.00|41444.10|40696.00|0.00|35522.40|0.00|38989.70|38394.30|0.00|33537.30|0.00|41962.80|41223.20|0.00|36084.50|0.00|43526.90|42966.10|0.00|38864.50|0.00|46323.70|45519.50|0.00|42024.90|0.00|52289.10|51616.60|0.00|47245.40|798.40|54713.00|53909.30||49679.50|
Hexaware Technologies Ltd.|62013|8541.70|9758.40|5433.40|4505.10|827.40|270.50|10374.75|-29.90|||1454.20|31.30|7574.80|5255.00|1.30||11697.30|1086.70||0.30|2124.40|40.20|909.20|870.00|0.00|700.00|0.00|1041.00|985.90|0.00|832.90|0.00|1275.30|1196.30|0.00|934.10|0.00|1413.90|1074.70|0.00|985.70|0.00|1253.80|1181.70|0.00|990.80|0.00|1177.60|1126.10|0.00|988.40|0.00|1313.80|1106.30|0.00|1144.40|0.00|1524.00|1273.90|15.40|2253.20|0.00|1301.20|1206.30|0.00|1126.90|0.00|1192.10|1064.10|0.00|1173.60|0.00|1394.00|1345.50|0.00|1283.50|0.00|1445.10|1365.90|0.00|1380.70|0.00|1283.10|1200.60|0.00|1080.30|0.00|1294.60|1210.40|0.00|909.00|0.00|1366.80|1280.60|0.00|1000.40|0.00|1266.60|1171.20|7.20|979.30|0.00|1001.20|919.50|0.00|922.10|0.00|1210.30|934.60|0.00|1102.80|7.80|1968.50|1123.90|758.70|1553.20|384.50|1421.10|1258.50|0.00|1094.80|0.00|1610.00|1428.90|0.00|1151.40|0.00
Hindalco Industries Ltd.|24201|362701.40|419170.50|212388.70|200891.10|41.50|12.20|390935.95|16782.50|54.50||77348.20|65.10|258382.60|241049.70||80.70|442949.15|22144.70|58.90||75843.80|236.90|37317.00|36574.00|0.00|35912.00|650.00|43513.00|42737.00|0.00|47157.00|0.00|47450.00|46342.00|0.00|47681.00|0.00|47146.00|46562.00|0.00|32878.00|0.00|48722.00|47489.00|0.00|37897.00|0.00|48097.60|46851.40|0.00|44418.50|0.00|50766.70|49669.30|0.00|41481.70|0.00|46530.90|45387.30|0.00|39972.10|0.00|56951.00|50102.00|5407.00|49235.00|0.00|48621.90|46475.30|0.00|44124.30|0.00|58599.50|56831.80|0.00|50737.40|0.00|42676.70|41171.80|0.00|29656.30|0.00|40173.20|37717.60|1508.30|38044.80|0.00|39730.50|38969.00|0.00|38099.10|0.00|49722.50|49149.60|0.00|53976.10|0.00|53631.70|53135.90|0.00|48424.80|0.00|55874.70|53966.40|1131.70|46855.60|0.00|52472.40|51782.50|0.00|45186.40|0.00|59420.40|58599.40|0.00|55351.60|0.00|60352.20|59746.10|0.00|59910.50|4.50|69681.10|68464.10|0.00|64055.10|0.00
Hindustan Construction Co. Ltd.|42101|51032.80|63484.40|34743.70|36246.10||162.50|57258.60|344.20|||11496.90|65.20|39853.20|41044.80|0.00|25.30|74325.40|-97.60|||11842.80|91.80|7722.30|7681.10|21.20|7284.20||5804.70|5735.40|7.20|5553.50||4213.10|4202.40||4171.40||5444.40|5361.30||5224.50||8556.60|8277.10||8614.50|425.20|7611.00|7290.40||7261.20||5696.20|5486.80||5579.80||7555.00|7500.00||7304.60||10550.30|10550.30||10286.20||9289.10|8655.00|619.00|8980.70||6759.90|6491.60||6560.50|1.70|8305.90|8194.20|89.60|8073.90||10038.40|9796.80||9524.80||8805.40|8760.10||8623.50||7852.90|7824.70||7797.80||9093.30|9025.90||8945.70||10908.70|10866.80||10479.00||9984.30|9953.50||9701.20||8948.90|8887.80||8827.50||10090.60|10024.70||10011.20|28.00|12346.20|12095.00||12120.10|
Hindustan Oil Exploration Co. Ltd.|06202|17028.00|19989.10|1831.20|1466.70|||18508.55|-1867.20|||16047.60|0.40|3840.40|3052.00|1.00||21131.50|1631.00|||14897.20|0.40|310.70|300.70|0.00|456.30|418.10|342.40|310.90|0.00|209.20|0.10|271.40|257.50|0.00|409.20|377.60|371.50|311.90|0.00|233.80|129.10|313.80|247.90|0.00|405.80|423.80|225.90|177.50|0.00|143.20|0.00|328.00|291.10|0.00|169.50|0.00|62.90|33.50|0.00|255.70|148.40|528.00|362.10|79.00|305.90|18.00|318.20|194.90|0.00|235.10|0.00|425.10|287.70|1.00|239.20|0.00|248.10|117.40|0.00|184.40|0.00|353.80|251.80|30.00|128.40|0.00|305.20|150.20|20.00|222.60|0.00|139.20|123.70|6.50|68.80|0.00|366.10|326.40|27.00|290.90|0.00|833.10|800.30|50.90|695.10|0.00|843.40|834.30|0.00|694.30|0.00|701.00|676.20|0.00|566.90|0.00|1030.20|953.50|57.00|733.50|0.00|875.90|834.40|0.00|639.90|0.00
Hindustan Petroleum Corpn. Ltd.|19209|472075.60|517747.70|1176416.80|1195904.60|16.60||494911.65|32511.90|8.50|1044.80|153066.80|950.90|1452879.00|1471878.60||144.40|565847.65|10014.30|15.60|925.90|186445.30|1181.60|210847.50|207780.40|1416.00|192269.00|0.00|207770.60|206741.00|0.00|216907.70|0.00|245060.00|243674.60|0.00|238808.90|0.00|226998.50|221502.00|3029.70|216190.30|0.00|220416.30|218495.00|0.10|215062.40|0.00|222161.30|218817.00|0.00|219273.60|0.00|245158.70|243750.90|0.00|262582.60|0.00|275848.20|271170.10|2033.50|269385.60|0.00|321881.00|316456.90|4086.10|326054.50|0.00|348664.90|347576.00|0.00|370925.90|0.00|356725.50|355747.30|0.00|398534.90|0.00|295415.40|294705.90|0.00|268447.00|0.00|256894.10|253348.60|1117.80|195674.60|0.00|246379.10|244361.50|0.00|250582.10|0.00|248150.70|246289.60|349.20|268552.00|0.00|280992.40|278742.00|0.00|272329.00|0.00|317700.10|315584.10|36.90|321245.10|575.10|294667.50|293015.00|0.00|299511.60|14.00|310915.60|308702.30|0.00|303691.90|1.70|342008.80|340559.90|0.00|356775.60|0.00|400832.90|397147.50|0.00|407443.40|136.70
Hindustan Unilever Ltd.|20239|85202.80|95909.10|190166.90|168341.30|1465.70|442.30|90549.25|33977.20|810.80|23914.30|21621.10|552.20|211567.70|191458.60|1800.90|180.10|99957.40|16562.00|935.70|27642.30|21691.00|355.20|30162.90|27980.50|1488.80|26266.80|45.00|31659.60|30832.30|13.30|27843.60|0.00|33005.60|30660.10|1377.40|28551.10|0.00|32950.90|31561.00|320.40|27723.40|0.00|33230.80|31843.20|686.50|30060.00|0.00|36374.00|34814.00|502.10|30960.80|88.30|34735.70|33960.10|43.00|31652.80|60.00|39939.90|37894.00|1177.90|33796.00|16.80|38699.00|38272.80|64.40|37240.30|39.20|43508.60|42119.40|144.90|37888.00|0.00|42943.20|41109.10|1360.20|40111.40|224.30|44744.60|43734.70|622.50|37419.70|165.00|40842.60|40573.10|66.90|37329.60|1225.30|45451.20|44708.20|51.80|37747.70|0.00|43655.50|42601.00|490.40|39329.30|1660.20|47023.70|45884.30|750.60|40781.80|72.40|46132.90|43804.30|1133.50|42611.40|65.40|49368.40|48762.10|185.00|42925.60|0.00|48873.50|47646.70|255.60|44246.70|54.20|52715.80|51277.10|509.30|47370.60|8.50|51155.20|49684.00|868.10|47415.10|81.10
Hindustan Zinc Ltd.|24209|159386.00|202239.60|91603.10|50435.80||3.00|180812.80|40351.30|68.00||61634.30|622.00|114828.70|67380.20|1.30||226419.95|42297.90|36.20||72542.10|545.10|18130.00|17760.00|0.00|9610.00|0.00|16590.00|16120.00|0.00|9700.00|0.00|24920.00|24460.00|0.00|11030.00|0.00|25570.00|24930.00|0.00|12270.00|0.00|20950.00|20210.00|0.00|11180.00|0.00|22660.60|19699.20|1304.80|11014.00|0.00|21728.70|20201.30|0.00|10005.90|0.00|17690.00|16580.00|0.00|9710.00|0.00|24469.70|22870.20|0.00|11757.10|0.00|18530.40|16747.90|0.00|10369.20|0.00|19711.80|17904.60|0.00|10011.00|0.00|13054.50|10692.00|0.00|9635.30|0.00|14831.50|12889.30|0.00|9080.60|0.00|17067.80|15265.70|0.00|9310.30|0.00|19720.30|18183.20|0.00|10533.50|0.00|23798.20|22479.50|0.00|12495.20|0.00|26796.20|25451.60|0.00|13876.20|0.00|21286.60|19702.20|0.00|13077.70|0.00|23861.50|22016.10|0.00|14763.80|0.00|28426.70|26301.60|0.00|15998.70|0.00|35458.90|32373.30|0.00|17745.00|0.00
Hotel Leelaventure Ltd.|55101|49290.50|53551.60|4807.60|4397.40|6.50|3.60|39101.60|331.60||168.30|36686.70||5113.60|4735.20|185.40|18.20|46137.65|690.10|||40690.40|13.50|1196.80|987.60|0.00|825.00|23.10|1290.90|808.30|405.80|663.10|0.00|800.50|766.70|0.00|579.90|0.00|1015.20|990.20|0.00|658.60|0.00|1417.60|1167.40|0.00|1360.10|0.00|1033.50|1001.80|0.00|731.90|0.00|1178.70|1002.10|0.00|777.50|0.00|1513.50|1430.20|30.80|963.70|0.00|2038.10|1546.40|40.50|1744.00|0.00|1277.80|1240.60|0.00|943.50|0.00|1256.90|1093.70|0.00|1016.40|93.00|1276.40|1211.30|0.00|1071.40|116.10|2115.00|1019.60|104.40|1444.90|0.00|894.50|847.10|0.00|884.10|0.00|954.20|911.20|0.00|936.70|0.00|1321.70|1277.40|0.00|1033.10|0.00|1613.40|1456.10|6.50|1519.70|0.00|1134.50|1092.30|0.00|1042.10|0.00|1137.90|1090.30|0.00|1185.40|0.00|1521.70|1462.40|0.00|1301.30|0.00|1301.30|989.50|185.40|1188.40|0.00
Housing Development & Infrastructure Ltd.|41001|95128.10|123995.60|15995.70|25948.70||1.50|109561.85|-9094.70||45.40|1807.00|11.70|19237.00|34415.10|0.00|45.30|142907.10|-15354.40||83.40|1777.10|5.90||||||||||||||||||||||||||4458.40|4432.80||2880.90||4817.20|4648.90||9501.00||5152.80|4966.20||11956.40||9894.90|9750.80||25383.20||6011.30|5700.80||6251.90||5030.20|4775.60||5692.20||4439.50|3137.90|1092.20|9019.20||3887.70|3578.60||5422.80||3186.10|2953.50||5747.00||3810.50|3537.00||6067.40||4354.70|4088.80||6509.10||4644.60|4340.70||7625.40|56.40|4851.60|4509.20|0.20|9482.50||4074.60|3726.50|9.30|6995.30||4834.70|4553.50||12399.80|45.00|6307.50|5274.10||6369.00|
Housing Development Finance Corpn. Ltd.|64192|1017088.20|1166914.30|116203.50|87787.50|||1092001.25|-105771.60||276.70|2221.20|15.30|130980.60|95664.60|||1279916.80|-173866.30||259.90|2339.50|21.00|12399.00|12358.20|0.00|8133.80|0.00|12485.30|11946.50|0.00|9517.10|0.00|14562.30|12869.30|0.00|10882.10|0.00|14577.30|13856.30|0.00|11022.40|0.00|17337.70|16176.40|0.00|11837.20|0.00|18303.90|18045.60|0.00|14575.80|0.00|22057.50|18886.00|0.00|18023.10|2429.50|22756.60|20469.30|0.00|16267.30|0.00|25222.80|23096.70|2020.70|17541.60|0.00|23186.20|23134.80|0.00|18505.10|0.00|26205.90|25925.40|0.00|20863.60|0.00|29251.90|29196.20|0.00|23783.60|0.00|31536.10|31457.70|0.00|24202.40|0.00|28490.70|27928.90|0.00|22841.50|0.00|28502.30|27835.40|0.00|21862.90|0.00|27622.10|27055.70|0.00|20909.60|0.00|28993.20|28468.80|0.00|19729.40|0.00|28019.50|27971.30|0.00|21073.60|0.00|29702.20|29065.50|0.00|21626.80|0.00|33210.40|31489.50|0.00|24301.60|0.00|37848.60|36405.60||26429.10|
I C I C I Bank Ltd.|64191|3798495.80|3638668.30|331899.30|291649.50|1345.20||3718582.05|279757.10||1108.00|32126.90|1809.30|330829.60|279315.80|411.70||3852724.60|-115777.00||1487.50|47442.60|1758.80|55074.50|41483.30||47175.20||60496.60|50386.30||54296.50||67968.20|52266.90||60418.10||75814.60|56008.70||66713.80||84955.20|63959.30||76704.00||92814.20|73308.30|0.00|85063.40|0.00|95963.00|75243.60||85937.00||103383.60|79117.70||91081.50||103909.20|80292.70||92410.80||94299.80|78918.00||87019.70||97123.10|78349.80|0.00|86981.00|0.00|103506.20|78360.80|0.00|90784.70|0.00|92033.60|75296.90||84596.00||92233.20|71334.40||83451.00||84807.30|66569.40||74406.00||77627.10|60895.70||66616.50||77178.20|58269.80||67122.50||74930.50|58125.40||64670.70||78870.30|63091.00||66507.60||84447.50|66959.60||70077.30||87971.20|71564.50||73450.10|
I D B I Bank Ltd.|64191|1725542.10|2337692.20|176192.70|165881.40||14.30|2012030.75|241322.30||458.40|28349.10||207070.80|190567.60||26.90|2416562.65|-31812.20||464.00|29692.90||19441.60|15738.70||17429.20||16683.40|13837.30||15177.70||16576.70|14486.30|164.30|15182.70||18776.50|16973.50||17508.60||21853.50|18144.70||19718.00||21930.00|17927.90||20398.80||23372.40|19059.60||21817.40||24506.70|20844.30||22748.30||26469.70|22554.50||24019.70||27561.50|24162.40||25963.90||30175.60|25968.00||28550.80||35133.30|32338.30||32907.00||37345.00|32982.50||34208.30||42189.10|34613.70||40470.80||42828.40|37122.30||40291.00||45465.70|40060.50|1131.70|42594.20||47949.00|40833.60|1669.20|44764.90||47550.30|42821.60||45041.40||50692.50|45341.00||46401.50||51595.40|47015.80||47054.60||57006.50|50234.10||51844.00|
